,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
302,Edgars Creek Secondary College,Secondary,WOLLERT,3750,57135.0,,,
303,Wallan Secondary College,Secondary,WALLAN,3756,59117.0,WALLAN,23.0,1.0
304,Whittlesea Secondary College,Secondary,WHITTLESEA,3757,59011.0,WHITTLESEA,23.0,1.8
305,Assumption College,Secondary,KILMORE,3764,59784.0,KILMORE,28.0,4.0
306,Healesville High School,Secondary,HEALESVILLE,3777,53943.0,HEALESVILLE,27.0,1.3
307,Emerald Secondary College,Secondary,EMERALD,3782,60982.0,EMERALD,28.0,2.9
308,Monbulk College,Secondary,MONBULK,3793,54527.0,MONBULK,27.0,5.6
309,Upper Yarra Secondary College,Secondary,YARRA JUNCTION,3797,51162.0,YARRA JUNCTION,27.0,1.5
310,John Monash Science School,Secondary,MONASH UNIVERSITY,3800,33410.0,CLAYTON,34.0,17.1
311,Gleneagles Secondary College,Secondary,ENDEAVOUR HILLS,3802,54567.0,ENDEAVOUR HILLS,28.0,5.2
312,Hallam Senior Secondary College,Secondary,HALLAM,3803,50194.0,,,
313,Fountain Gate Secondary College,Secondary,HALLAM,3803,50194.0,,,
314,Nossal High School,Secondary,NARRE WARREN,3805,55224.0,BERWICK,36.0,26.3
315,Alkira Secondary College,Secondary,NARRE WARREN SOUTH,3805,55224.0,CRANBOURNE NORTH,30.0,3.2
316,Berwick Secondary College,Secondary,BERWICK,3806,62547.0,BERWICK,31.0,5.7
317,Kambrya College,Secondary,BERWICK,3806,62547.0,BERWICK,31.0,6.4
318,St Francis Xavier College,Secondary,BEACONSFIELD,3807,64424.0,BEACONSFIELD,29.0,5.9
319,Officer Secondary College,Secondary,OFFICER,3809,60421.0,OFFICER,25.0,1.1
320,Pakenham Secondary College,Secondary,PAKENHAM,3810,55168.0,PAKENHAM,27.0,0.6
321,Edenbrook Secondary College,Secondary,PAKENHAM,3810,55168.0,,,
322,Drouin Secondary College,Secondary,DROUIN,3818,53660.0,DROUIN,27.0,1.5
323,Warragul Regional College,Secondary,WARRAGUL,3820,56982.0,WARRAGUL,26.0,0.3
324,Marist-Sion College,Secondary,WARRAGUL,3820,56982.0,,,
325,Trafalgar High School,Secondary,TRAFALGAR,3824,59030.0,TRAFALGAR,26.0,0.9
326,Lowanna College,Secondary,MOE,3825,56857.0,NEWBOROUGH,27.0,2.5
327,Neerim District Secondary College,Secondary,NEERIM SOUTH,3831,55740.0,,,
328,Kurnai College,Secondary,MORWELL BC,3841,,CHURCHILL,27.0,0.7
329,Traralgon College,Secondary,TRARALGON,3844,64749.0,TRARALGON,26.0,1.7
330,Lavalla Catholic College,Secondary,TRARALGON,3844,64749.0,TRARALGON,28.0,5.4
331,Sale College,Secondary,SALE,3850,60713.0,SALE,25.0,0.4
332,Catholic College Sale,Secondary,SALE,3850,60713.0,SALE,28.0,5.2
333,Maffra Secondary College,Secondary,MAFFRA,3860,57118.0,MAFFRA,26.0,2.6
334,Mirboo North Secondary College,Secondary,MIRBOO NORTH,3871,57041.0,,,
335,Bairnsdale Secondary College,Secondary,BAIRNSDALE,3875,49920.0,BAIRNSDALE,25.0,1.0
336,Nagle College,Secondary,BAIRNSDALE,3875,49920.0,BAIRNSDALE,29.0,3.0
337,Orbost Secondary College,Secondary,ORBOST,3888,47465.0,ORBOST,29.0,10.4
338,Lakes Entrance Secondary College,Secondary,LAKES ENTRANCE,3909,45859.0,,,
339,Elisabeth Murdoch College,Secondary,LANGWARRIN,3910,59969.0,LANGWARRIN,28.0,3.2
340,Somerville Secondary College,Secondary,SOMERVILLE,3912,57912.0,SOMERVILLE,25.0,0.0
341,Western Port Secondary College,Secondary,HASTINGS,3915,53162.0,,,
342,Mount Eliza Secondary College,Secondary,MOUNT ELIZA,3930,74841.0,,,
343,Mornington Secondary College,Secondary,MORNINGTON,3931,59820.0,MORNINGTON,27.0,4.0
344,Padua College,Secondary,MORNINGTON,3931,59820.0,MORNINGTON,30.0,5.1
345,Dromana Secondary College,Secondary,DROMANA,3936,55790.0,DROMANA,30.0,5.0
346,Rosebud Secondary College,Secondary,ROSEBUD,3939,50947.0,ROSEBUD,27.0,2.3
347,Korumburra Secondary College,Secondary,KORUMBURRA,3950,51482.0,,,
348,Leongatha Secondary College,Secondary,LEONGATHA,3953,51028.0,LEONGATHA,27.0,1.9
349,Mary MacKillop Catholic Regional College,Secondary,LEONGATHA,3953,51028.0,,,
350,Foster Secondary College,Secondary,FOSTER,3960,49704.0,FOSTER,28.0,5.4
351,Yarram Secondary College,Secondary,YARRAM,3971,47997.0,YARRAM,25.0,0.0
352,Hampton Park Secondary College,Secondary,HAMPTON PARK,3976,50053.0,,,
353,Lyndhurst Secondary College,Secondary,CRANBOURNE,3977,55776.0,CRANBOURNE,26.0,4.3
354,Cranbourne Secondary College,Secondary,CRANBOURNE,3977,55776.0,CRANBOURNE,28.0,2.9
355,Cranbourne West Secondary College,Secondary,CRANBOURNE WEST,3977,55776.0,,,
356,Cranbourne East Secondary College,Secondary,CRANBOURNE,3977,55776.0,,,
357,St Peter's College,Secondary,CRANBOURNE,3977,55776.0,CRANBOURNE,27.0,0.8
358,Koo Wee Rup Secondary College,Secondary,KOO WEE RUP,3981,52940.0,,,
359,Wonthaggi Secondary College,Secondary,WONTHAGGI,3995,45961.0,WONTHAGGI,27.0,4.0
360,Village High School,Secondary,WONTHAGGI,3995,45961.0,,,
