,School Name,School Type,Locality,Postcode,Average Income in Postcode 
40,Strathmore Secondary College,Secondary,STRATHMORE,3041,71870.0
41,Rosehill Secondary College,Secondary,NIDDRIE,3042,66384.0
42,Essendon Keilor College,Secondary,NIDDRIE,3042,66384.0
43,Gladstone Park Secondary College,Secondary,GLADSTONE PARK,3043,59907.0
44,Pascoe Vale Girls Secondary College,Secondary,OAK PARK,3046,57071.0
45,Glenroy Secondary College,Secondary,GLENROY,3046,57071.0
46,Penola Catholic College,Secondary,GLENROY,3046,57071.0
47,Hume Central Secondary College,Secondary,DALLAS,3047,43778.0
48,St Aloysius College,Secondary,NORTH MELBOURNE,3051,63344.0
49,University High School,Secondary,PARKVILLE,3052,61494.0
50,Princes Hill Secondary College,Secondary,PRINCES HILL,3054,73916.0
51,Sydney Road Community School,Secondary,BRUNSWICK,3056,63945.0
52,Brunswick Secondary College,Secondary,BRUNSWICK,3056,63945.0
53,Coburg High School,Secondary,COBURG,3058,63138.0
54,Mercy College,Secondary,COBURG,3058,63138.0
55,John Fawkner Secondary College,Secondary,FAWKNER,3060,52409.0
56,Roxburgh College,Secondary,SOMERTON BC SOMERTON,3062,60269.0
57,Elevation Secondary College,Secondary,CRAIGIEBURN,3064,54253.0
58,Craigieburn Secondary College,Secondary,CRAIGIEBURN,3064,54253.0
59,Kolbe Catholic College,Secondary,CRAIGIEBURN,3064,54253.0
60,Academy of Mary Immaculate,Secondary,FITZROY,3065,75116.0
61,Fitzroy High School,Secondary,FITZROY NORTH,3068,81381.0
62,Northcote High School,Secondary,NORTHCOTE,3070,74812.0
63,Santa Maria College,Secondary,NORTHCOTE,3070,74812.0
64,Thornbury High School,Secondary,THORNBURY,3071,66748.0
65,Northern College of the Arts and Technology,Secondary,NORTHLAND,3072,61053.0
66,Preston High School,Secondary,PRESTON,3072,61053.0
67,Reservoir High School,Secondary,RESERVOIR,3073,55362.0
68,William Ruthven Secondary College,Secondary,RESERVOIR,3073,55362.0
69,Thomastown Secondary College,Secondary,THOMASTOWN,3074,49720.0
70,Lalor Secondary College,Secondary,LALOR,3075,50545.0
71,Peter Lalor Secondary College,Secondary,EPPING,3076,53896.0
72,Epping Secondary College,Secondary,EPPING,3076,53896.0
73,Lalor North Secondary College,Secondary,EPPING,3076,53896.0
74,St Monica's College,Secondary,EPPING,3076,53896.0
75,Mill Park Secondary College,Secondary,MILL PARK,3082,56421.0
76,Bundoora Secondary College,Secondary,BUNDOORA,3083,54536.0
77,Parade College,Secondary,BUNDOORA,3083,54536.0
78,Viewbank College,Secondary,VIEWBANK,3084,74543.0
79,Our Lady of Mercy College,Secondary,HEIDELBERG,3084,74543.0
80,Loyola College,Secondary,WATSONIA,3087,64448.0
81,Greensborough Secondary College,Secondary,GREENSBOROUGH,3088,66340.0
82,Diamond Valley College,Secondary,DIAMOND CREEK,3089,66771.0
83,Montmorency Secondary College,Secondary,MONTMORENCY,3094,68143.0
84,Eltham High School,Secondary,ELTHAM,3095,71820.0
85,St Helena Secondary College,Secondary,ELTHAM NORTH,3095,71820.0
86,Catholic Ladies' College Ltd,Secondary,ELTHAM,3095,71820.0
87,Kew High School,Secondary,KEW EAST,3102,80461.0
88,Balwyn High School,Secondary,BALWYN NORTH,3104,74688.0
89,Marcellin College,Secondary,BULLEEN,3105,65723.0
90,Templestowe College,Secondary,TEMPLESTOWE LOWER,3107,66472.0
91,Doncaster Secondary College,Secondary,DONCASTER,3108,59915.0
92,East Doncaster Secondary College,Secondary,DONCASTER EAST,3109,62653.0
93,Whitefriars College Inc,Secondary,DONVALE,3111,69823.0
94,Warrandyte High School,Secondary,WARRANDYTE,3113,71739.0
95,Lynall Hall Community School,Secondary,RICHMOND,3121,80342.0
96,Richmond High School,Secondary,RICHMOND,3121,80342.0
97,Melbourne Girls College,Secondary,RICHMOND,3121,80342.0
98,Brosnan Learning Centre,Secondary,RICHMOND,3121,80342.0
99,Swinburne Senior Secondary College,Secondary,HAWTHORN,3122,82339.0
100,Auburn High School,Secondary,HAWTHORN EAST,3123,82326.0
101,Alia College,Secondary,HAWTHORN EAST,3123,82326.0
102,SEDA College (Victoria),Secondary,HAWTHORN EAST,3123,82326.0
103,Siena College Ltd,Secondary,CAMBERWELL,3124,86333.0
104,Camberwell High School,Secondary,CANTERBURY,3126,95165.0
105,Canterbury Girls Secondary College,Secondary,CANTERBURY,3126,95165.0
106,Box Hill High School,Secondary,BOX HILL,3128,57245.0
107,Box Hill Senior Secondary College,Secondary,MONT ALBERT NORTH,3129,65418.0
108,Koonung Secondary College,Secondary,MONT ALBERT NORTH,3129,65418.0
109,Our Lady of Sion College,Secondary,KERRIMUIR,3129,65418.0
110,Blackburn High School,Secondary,BLACKBURN,3130,67608.0
111,Nunawading Christian College-Secondary,Secondary,NUNAWADING,3131,62361.0
112,Mullauna Secondary College,Secondary,MITCHAM,3132,66162.0
113,Vermont Secondary College,Secondary,VERMONT,3133,64208.0
