School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,VCE Median Study Score,Percentage of study scores of 40 and over
Bundoora Secondary College,BUNDOORA,3083,54536.0,47727.0,25.0,0.0
Parade College,BUNDOORA,3083,54536.0,47727.0,30.0,3.2
Northside Christian College,BUNDOORA,3083,54536.0,47727.0,31.0,7.9
Viewbank College,VIEWBANK,3084,74543.0,60744.0,30.0,5.3
Our Lady of Mercy College,HEIDELBERG,3084,74543.0,60744.0,32.0,11.6
Macleod College,MACLEOD,3085,69369.0,59404.0,25.0,2.8
Charles La Trobe P-12 College,MACLEOD WEST,3085,69369.0,59404.0,24.0,0.5
Loyola College,WATSONIA,3087,64448.0,58161.0,30.0,4.9
Diamond Valley College,DIAMOND CREEK,3089,66771.0,57124.0,25.0,2.0
Eltham High School,ELTHAM,3095,71820.0,57405.0,29.0,5.1
St Helena Secondary College,ELTHAM NORTH,3095,71820.0,57405.0,29.0,5.8
Eltham College,ELTHAM,3095,71820.0,57405.0,32.0,9.3
Ruyton Girls' School,KEW,3101,86597.0,57562.0,36.0,27.1
Xavier College,KEW,3101,86597.0,57562.0,34.0,19.2
Carey Baptist Grammar School,KEW,3101,86597.0,57562.0,33.0,11.9
Kew High School,KEW EAST,3102,80461.0,56954.0,31.0,10.8
Camberwell Grammar School,BALWYN,3103,76768.0,52116.0,34.0,21.4
Balwyn High School,BALWYN NORTH,3104,74688.0,54252.0,33.0,17.5
Marcellin College,BULLEEN,3105,65723.0,53110.0,30.0,7.5
Templestowe College,TEMPLESTOWE LOWER,3107,66472.0,53899.0,30.0,6.4
Doncaster Secondary College,DONCASTER,3108,59915.0,48868.0,30.0,5.5
Donvale Christian College,DONVALE,3111,69823.0,52564.0,32.0,10.0
Warrandyte High School,WARRANDYTE,3113,71739.0,55115.0,27.0,2.3
Scotch College,HAWTHORN,3122,82339.0,59835.0,35.0,23.4
Bialik College,HAWTHORN EAST,3122,82339.0,59835.0,38.0,39.9
Auburn High School,HAWTHORN EAST,3123,82326.0,60581.0,31.0,8.7
Alia College,HAWTHORN EAST,3123,82326.0,60581.0,23.0,2.6
Presbyterian Ladies' College,BURWOOD,3125,57028.0,41948.0,36.0,27.6
Mount Scopus Memorial College,BURWOOD,3125,57028.0,41948.0,38.0,39.7
Camberwell High School,CANTERBURY,3126,95165.0,58703.0,30.0,5.8
Box Hill High School,BOX HILL,3128,57245.0,44494.0,32.0,14.8
Kingswood College,BOX HILL,3128,57245.0,44494.0,33.0,14.9
Koonung Secondary College,MONT ALBERT NORTH,3129,65418.0,52115.0,32.0,9.0
Our Lady of Sion College,KERRIMUIR,3129,65418.0,52115.0,32.0,10.4
Blackburn High School,BLACKBURN,3130,67608.0,54844.0,30.0,7.1
Vermont Secondary College,VERMONT,3133,64208.0,53058.0,31.0,8.5
Emmaus College,VERMONT SOUTH,3133,64208.0,53058.0,31.0,7.2
Waverley Christian College,VERMONT,3133,64208.0,53058.0,33.0,13.1
Norwood Secondary College,RINGWOOD,3134,63801.0,53640.0,29.0,2.4
Ringwood Secondary College,RINGWOOD,3134,63801.0,53640.0,30.0,9.9
Aquinas College,RINGWOOD,3134,63801.0,53640.0,30.0,6.3
Heathmont College,HEATHMONT,3135,64081.0,55649.0,26.0,2.0
Tintern Grammar,RINGWOOD EAST,3135,64081.0,55649.0,31.0,7.3
Luther College,CROYDON HILLS,3136,61290.0,53705.0,33.0,10.9
Mooroolbark College,MOOROOLBARK,3138,59565.0,53062.0,28.0,2.9
Yarra Hills Secondary College,MOOROOLBARK,3138,59565.0,53062.0,25.0,1.3
Billanook College,MOOROOLBARK,3138,59565.0,53062.0,31.0,9.6
Lilydale Heights College,LILYDALE,3140,58416.0,51348.0,25.0,0.0
Lilydale High School,LILYDALE,3140,58416.0,51348.0,28.0,2.0
Mount Lilydale Mercy College,LILYDALE,3140,58416.0,51348.0,28.0,2.4
Oxley Christian College,LILYDALE,3140,58416.0,51348.0,31.0,7.7
Edinburgh College,LILYDALE,3140,58416.0,51348.0,30.0,2.3
