School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,VCE Median Study Score,Percentage of study scores of 40 and over
Warragul Regional College,WARRAGUL,3820,56982.0,48688.0,26.0,0.3
Trafalgar High School,TRAFALGAR,3824,59030.0,51036.0,26.0,0.9
Lowanna College,MOE,3825,56857.0,47654.0,27.0,2.5
Traralgon College,TRARALGON,3844,64749.0,54190.0,26.0,1.7
Lavalla Catholic College,TRARALGON,3844,64749.0,54190.0,28.0,5.4
Sale College,SALE,3850,60713.0,49829.0,25.0,0.4
Catholic College Sale,SALE,3850,60713.0,49829.0,28.0,5.2
Maffra Secondary College,MAFFRA,3860,57118.0,48066.0,26.0,2.6
Bairnsdale Secondary College,BAIRNSDALE,3875,49920.0,45224.0,25.0,1.0
Nagle College,BAIRNSDALE,3875,49920.0,45224.0,29.0,3.0
Orbost Secondary College,ORBOST,3888,47465.0,39492.0,29.0,10.4
Cann River P-12 College,CANN RIVER,3890,47665.0,42280.0,24.0,0.0
Mallacoota P-12 College,MALLACOOTA,3892,41030.0,33635.0,30.0,9.3
Swifts Creek P-12 School,SWIFTS CREEK,3896,49251.0,41580.0,24.0,3.8
Elisabeth Murdoch College,LANGWARRIN,3910,59969.0,53932.0,28.0,3.2
Woodleigh School,LANGWARRIN SOUTH,3911,56250.0,51094.0,33.0,8.6
Somerville Secondary College,SOMERVILLE,3912,57912.0,51063.0,25.0,0.0
Newhaven College,RHYLL,3923,50309.0,41262.0,31.0,8.8
Toorak College,MT ELIZA,3930,74841.0,55393.0,35.0,20.3
Peninsula Grammar,MT ELIZA,3930,74841.0,55393.0,33.0,12.8
Mornington Secondary College,MORNINGTON,3931,59820.0,50180.0,27.0,4.0
Padua College,MORNINGTON,3931,59820.0,50180.0,30.0,5.1
Balcombe Grammar School,MT MARTHA,3934,65146.0,51872.0,30.0,3.1
Dromana Secondary College,DROMANA,3936,55790.0,47424.0,30.0,5.0
Rosebud Secondary College,ROSEBUD,3939,50947.0,45042.0,27.0,2.3
Leongatha Secondary College,LEONGATHA,3953,51028.0,45371.0,27.0,1.9
Foster Secondary College,FOSTER,3960,49704.0,40852.0,28.0,5.4
Yarram Secondary College,YARRAM,3971,47997.0,43088.0,25.0,0.0
Lyndhurst Secondary College,CRANBOURNE,3977,55776.0,51798.0,26.0,4.3
Cranbourne Secondary College,CRANBOURNE,3977,55776.0,51798.0,28.0,2.9
St Peter's College,CRANBOURNE,3977,55776.0,51798.0,27.0,0.8
Casey Grammar School,CRANBOURNE EAST,3977,55776.0,51798.0,30.0,5.7
Hillcrest Christian College,CLYDE NORTH,3978,58703.0,55210.0,30.0,4.3
Wonthaggi Secondary College,WONTHAGGI,3995,45961.0,40803.0,27.0,4.0
