School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Dimboola Memorial Sec College,DIMBOOLA,31,5.9
Djerriwarrh Emp. & Edu. Servic.,MELTON,,
Donald High School,DONALD,28,8.8
Doncaster Secondary College,DONCASTER,30,5.5
Donvale Christian College,DONVALE,32,10
Dromana Secondary College,DROMANA,30,5
Drouin Secondary College,DROUIN,27,1.5
East Doncaster Sec College,DONCASTER EAST,33,13
East Loddon P-12 College,DINGEE,34,13.9
East Preston Islamic College,PRESTON EAST,21,0
Echuca College,ECHUCA,27,2
Edenhope College,EDENHOPE,27,3
Edinburgh College,LILYDALE,30,2.3
Education Centre Gippsland,WARRAGUL,,
Elisabeth Murdoch College,LANGWARRIN,28,3.2
Eltham College,RESEARCH,32,9.3
Eltham High School,ELTHAM,29,5.1
Elwood College,ELWOOD,30,3.7
Emerald Secondary College,EMERALD,28,2.9
Emmanuel College,ALTONA NORTH,29,3.8
Emmanuel College,WARRNAMBOOL,27,3.1
Emmaus College,VERMONT SOUTH,31,7.2
Epping Secondary College,EPPING,28,2.3
Essendon Keilor College,ESSENDON,24,1.2
Euroa Secondary College,EUROA,27,3.3
F.C.J. College,BENALLA,30,6
Fairhills High School,KNOXFIELD,24,1
Federation University Australia,BALLARAT,,
Fintona Girls School,BALWYN,35,21.3
Firbank Grammar School,BRIGHTON,35,22.9
Fitzroy High School,FITZROY NORTH,29,3.3
Flinders Christian Comm College,TYABB,29,3.4
Flinders Christian Comm College,CARRUM DOWNS,28,1.2
Footscray High School,FOOTSCRAY,28,3.4
Forest Hill College,BURWOOD EAST,25,3.7
Foster Secondary College,FOSTER,28,5.4
Foundation Learning Centre,NARRE WARREN,,
Fountain Gate Sec College,FOUNTAIN GATE,26,0.8
Frankston High School,FRANKSTON,31,9.8
Galen College,WANGARATTA,29,3.6
Geelong Baptist College,LOVELY BANKS,25,1.9
Geelong Grammar School,CORIO,31,8.7
Geelong High School,EAST GEELONG,27,3.1
