,School Name,School Type,Locality,Postcode,Average Income in Postcode ,VCE median study score,Percentage of study scores of 40 and over
81,Greensborough Secondary College,Secondary,GREENSBOROUGH,3088,66340.0,,
82,Diamond Valley College,Secondary,DIAMOND CREEK,3089,66771.0,25.0,2.0
83,Montmorency Secondary College,Secondary,MONTMORENCY,3094,68143.0,,
84,Eltham High School,Secondary,ELTHAM,3095,71820.0,29.0,5.1
85,St Helena Secondary College,Secondary,ELTHAM NORTH,3095,71820.0,,
86,Catholic Ladies' College Ltd,Secondary,ELTHAM,3095,71820.0,,
87,Kew High School,Secondary,KEW EAST,3102,80461.0,31.0,10.8
88,Balwyn High School,Secondary,BALWYN NORTH,3104,74688.0,33.0,17.5
89,Marcellin College,Secondary,BULLEEN,3105,65723.0,30.0,7.5
90,Templestowe College,Secondary,TEMPLESTOWE LOWER,3107,66472.0,,
91,Doncaster Secondary College,Secondary,DONCASTER,3108,59915.0,30.0,5.5
92,East Doncaster Secondary College,Secondary,DONCASTER EAST,3109,62653.0,,
93,Whitefriars College Inc,Secondary,DONVALE,3111,69823.0,,
94,Warrandyte High School,Secondary,WARRANDYTE,3113,71739.0,27.0,2.3
95,Lynall Hall Community School,Secondary,RICHMOND,3121,80342.0,,
96,Richmond High School,Secondary,RICHMOND,3121,80342.0,,
97,Melbourne Girls College,Secondary,RICHMOND,3121,80342.0,,
98,Brosnan Learning Centre,Secondary,RICHMOND,3121,80342.0,,
99,Swinburne Senior Secondary College,Secondary,HAWTHORN,3122,82339.0,,
100,Auburn High School,Secondary,HAWTHORN EAST,3123,82326.0,31.0,8.7
101,Alia College,Secondary,HAWTHORN EAST,3123,82326.0,23.0,2.6
102,SEDA College (Victoria),Secondary,HAWTHORN EAST,3123,82326.0,,
103,Siena College Ltd,Secondary,CAMBERWELL,3124,86333.0,,
104,Camberwell High School,Secondary,CANTERBURY,3126,95165.0,30.0,5.8
105,Canterbury Girls Secondary College,Secondary,CANTERBURY,3126,95165.0,,
106,Box Hill High School,Secondary,BOX HILL,3128,57245.0,32.0,14.8
107,Box Hill Senior Secondary College,Secondary,MONT ALBERT NORTH,3129,65418.0,,
108,Koonung Secondary College,Secondary,MONT ALBERT NORTH,3129,65418.0,32.0,9.0
109,Our Lady of Sion College,Secondary,KERRIMUIR,3129,65418.0,,
110,Blackburn High School,Secondary,BLACKBURN,3130,67608.0,30.0,7.1
111,Nunawading Christian College-Secondary,Secondary,NUNAWADING,3131,62361.0,,
112,Mullauna Secondary College,Secondary,MITCHAM,3132,66162.0,,
113,Vermont Secondary College,Secondary,VERMONT,3133,64208.0,31.0,8.5
114,Emmaus College,Secondary,VERMONT SOUTH,3133,64208.0,31.0,7.2
115,Norwood Secondary College,Secondary,RINGWOOD,3134,63801.0,29.0,2.4
116,Ringwood Secondary College,Secondary,RINGWOOD,3134,63801.0,30.0,9.9
117,Aquinas College,Secondary,RINGWOOD,3134,63801.0,30.0,6.3
118,Heathmont College,Secondary,HEATHMONT,3135,64081.0,26.0,2.0
119,Croydon Community School,Secondary,CROYDON,3136,61290.0,,
