School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,Locality_y,VCE Median Study Score,Percentage of study scores of 40 and over
Rosehill Secondary College,NIDDRIE,3042,66384.0,59506.0,NIDDRIE,29.0,2.8
Essendon Keilor College,NIDDRIE,3042,66384.0,59506.0,ESSENDON,24.0,1.2
Penleigh & Essendon Grammar School,NIDDRIE,3042,66384.0,59506.0,,,
Gladstone Park Secondary College,GLADSTONE PARK,3043,59907.0,55201.0,,,
Pascoe Vale Girls Secondary College,OAK PARK,3046,57071.0,51107.0,,,
Glenroy Secondary College,Glenroy,3046,57071.0,51107.0,GLENROY,20.0,0.7
Penola Catholic College,GLENROY,3046,57071.0,51107.0,BROADMEADOWS,27.0,1.0
Glenroy Private,GLENROY,3046,57071.0,51107.0,,,
Hume Central Secondary College,DALLAS,3047,43778.0,40125.0,,,
Ilim College,DALLAS,3047,43778.0,40125.0,BROADMEADOWS,30.0,6.8
Sirius College,DALLAS,3047,43778.0,40125.0,,,
St Mary's Coptic Orthodox College,DALLAS,3048,44958.0,42785.0,,,
St Aloysius College,NORTH MELBOURNE,3051,63344.0,51436.0,NORTH MELBOURNE,32.0,8.8
University High School,PARKVILLE,3052,61494.0,47121.0,PARKVILLE,32.0,13.3
Princes Hill Secondary College,PRINCES HILL,3054,73916.0,56324.0,,,
Sydney Road Community School,BRUNSWICK,3056,63945.0,55026.0,BRUNSWICK,25.0,0.0
Brunswick Secondary College,BRUNSWICK,3056,63945.0,55026.0,BRUNSWICK,29.0,4.9
Coburg High School,Coburg,3058,63138.0,54676.0,COBURG,28.0,3.2
Mercy College,COBURG,3058,63138.0,54676.0,COBURG,29.0,6.0
Australian International Academy of Education,COBURG,3058,63138.0,54676.0,,,
Antonine College,MORELAND,3058,63138.0,54676.0,PASCOE VALE SOUTH,27.0,0.6
Aitken College,GREENVALE,3059,62577.0,55113.0,GREENVALE,29.0,5.1
John Fawkner Secondary College,Fawkner,3060,52409.0,46579.0,,,
Darul Ulum College of Victoria,FAWKNER,3060,52409.0,46579.0,FAWKNER,31.0,14.0
OneSchool Global Vic,CAMPBELLFIELD,3061,48176.0,44577.0,MELTON,31.0,5.4
Roxburgh College,Somerton BC Somerton,3062,60269.0,61642.0,ROXBURGH PARK,24.0,1.4
Elevation Secondary College,Craigieburn,3064,54253.0,50768.0,,,
Craigieburn Secondary College,CRAIGIEBURN,3064,54253.0,50768.0,CRAIGIEBURN,22.0,1.1
Mount Ridley P-12 College,Craigieburn,3064,54253.0,50768.0,CRAIGIEBURN,25.0,0.7
Kolbe Catholic College,CRAIGIEBURN,3064,54253.0,50768.0,GREENVALE,26.0,2.0
Hume Anglican Grammar,CRAIGIEBURN,3064,54253.0,50768.0,MICKLEHAM,31.0,9.1
Academy of Mary Immaculate,FITZROY,3065,75116.0,58734.0,FITZROY,30.0,5.2
Collingwood College,ABBOTSFORD,3067,71734.0,62399.0,COLLINGWOOD,28.0,4.5
Sophia Mundi Steiner School,ABBOTSFORD,3067,71734.0,62399.0,,,
Fitzroy High School,FITZROY NORTH,3068,81381.0,63269.0,FITZROY NORTH,29.0,3.3
Northcote High School,NORTHCOTE,3070,74812.0,60646.0,NORTHCOTE,31.0,6.3
Santa Maria College,NORTHCOTE,3070,74812.0,60646.0,NORTHCOTE,31.0,9.7
Virtual School Victoria,THORNBURY,3071,66748.0,56863.0,THORNBURY,29.0,3.0
Victorian School Of Languages,THORNBURY,3071,66748.0,56863.0,,,
Thornbury High School,Thornbury,3071,66748.0,56863.0,THORNBURY,30.0,3.6
Northern College of the Arts and Technology,NORTHLAND,3072,61053.0,53174.0,,,
Preston High School,Preston,3072,61053.0,53174.0,,,
St John's College Preston,PRESTON,3072,61053.0,53174.0,,,
East Preston Islamic College,EAST PRESTON,3072,61053.0,53174.0,PRESTON EAST,21.0,0.0
Reservoir High School,RESERVOIR,3073,55362.0,50138.0,RESERVOIR,28.0,2.7
William Ruthven Secondary College,Reservoir,3073,55362.0,50138.0,,,
Thomastown Secondary College,THOMASTOWN,3074,49720.0,46210.0,THOMASTOWN,24.0,0.7
Lalor Secondary College,LALOR,3075,50545.0,46951.0,LALOR,27.0,0.7
Peter Lalor Secondary College,EPPING,3076,53896.0,50226.0,,,
Epping Secondary College,EPPING,3076,53896.0,50226.0,EPPING,28.0,2.3
Lalor North Secondary College,EPPING,3076,53896.0,50226.0,,,
St Monica's College,EPPING,3076,53896.0,50226.0,EPPING,28.0,3.5
Al Siraat College,EPPING,3076,53896.0,50226.0,EPPING,28.0,1.7
Alphington Grammar School,ALPHINGTON,3078,74427.0,58476.0,ALPHINGTON,31.0,4.8
Ivanhoe Grammar School,IVANHOE,3079,81369.0,62144.0,IVANHOE,32.0,11.1
Ivanhoe Grammar School,IVANHOE,3079,81369.0,62144.0,MERNDA,33.0,15.5
Ivanhoe Girls' Grammar School,IVANHOE,3079,81369.0,62144.0,IVANHOE,35.0,25.7
Mill Park Secondary College,MILL PARK,3082,56421.0,51187.0,EPPING,25.0,1.7
Bundoora Secondary College,BUNDOORA,3083,54536.0,47727.0,BUNDOORA,25.0,0.0
Parade College,BUNDOORA,3083,54536.0,47727.0,BUNDOORA,30.0,3.2
Northside Christian College,BUNDOORA,3083,54536.0,47727.0,BUNDOORA,31.0,7.9
Viewbank College,VIEWBANK,3084,74543.0,60744.0,VIEWBANK,30.0,5.3
Our Lady of Mercy College,HEIDELBERG,3084,74543.0,60744.0,HEIDELBERG,32.0,11.6
Macleod College,MACLEOD,3085,69369.0,59404.0,MACLEOD,25.0,2.8
Charles La Trobe P-12 College,Macleod West,3085,69369.0,59404.0,PRESTON,,
Charles La Trobe P-12 College,Macleod West,3085,69369.0,59404.0,MACLEOD WEST,24.0,0.5
Loyola College,WATSONIA,3087,64448.0,58161.0,WATSONIA,30.0,4.9
Greensborough Secondary College,GREENSBOROUGH,3088,66340.0,57779.0,,,
Diamond Valley College,DIAMOND CREEK,3089,66771.0,57124.0,DIAMOND CREEK,25.0,2.0
Montmorency Secondary College,MONTMORENCY,3094,68143.0,59541.0,,,
Eltham High School,ELTHAM,3095,71820.0,57405.0,ELTHAM,29.0,5.1
St Helena Secondary College,ELTHAM NORTH,3095,71820.0,57405.0,ELTHAM,29.0,5.8
Catholic Ladies' College Ltd,ELTHAM,3095,71820.0,57405.0,,,
Eltham College,ELTHAM,3095,71820.0,57405.0,RESEARCH,32.0,9.3
Ruyton Girls' School,KEW,3101,86597.0,57562.0,KEW,36.0,27.1
Methodist Ladies' College,KEW,3101,86597.0,57562.0,,,
Xavier College,KEW,3101,86597.0,57562.0,KEW,34.0,19.2
Trinity Grammar School Kew,KEW,3101,86597.0,57562.0,,,
Genazzano FCJ College,KEW,3101,86597.0,57562.0,,,
Carey Baptist Grammar School,KEW,3101,86597.0,57562.0,KEW,33.0,11.9
Kew High School,KEW EAST,3102,80461.0,56954.0,KEW EAST,31.0,10.8
Fintona Girls' School,BALWYN,3103,76768.0,52116.0,,,
Camberwell Grammar School,BALWYN,3103,76768.0,52116.0,CANTERBURY,34.0,21.4
Preshil The Margaret Lyttle Memorial School,BALWYN,3103,76768.0,52116.0,,,
Balwyn High School,BALWYN NORTH,3104,74688.0,54252.0,BALWYN NORTH,33.0,17.5
Marcellin College,BULLEEN,3105,65723.0,53110.0,BULLEEN,30.0,7.5
Templestowe College,TEMPLESTOWE LOWER,3107,66472.0,53899.0,TEMPLESTOWE LOWE,30.0,6.4
Doncaster Secondary College,DONCASTER,3108,59915.0,48868.0,DONCASTER,30.0,5.5
East Doncaster Secondary College,DONCASTER EAST,3109,62653.0,50977.0,,,
Whitefriars College Inc,DONVALE,3111,69823.0,52564.0,,,
Donvale Christian College,DONVALE,3111,69823.0,52564.0,DONVALE,32.0,10.0
Warrandyte High School,Warrandyte,3113,71739.0,55115.0,WARRANDYTE,27.0,2.3
Lynall Hall Community School,RICHMOND,3121,80342.0,67857.0,RICHMOND,,
Richmond High School,Richmond,3121,80342.0,67857.0,,,
Melbourne Girls College,RICHMOND,3121,80342.0,67857.0,,,
Brosnan Learning Centre,RICHMOND,3121,80342.0,67857.0,,,
Swinburne Senior Secondary College,HAWTHORN,3122,82339.0,59835.0,,,
Scotch College,HAWTHORN,3122,82339.0,59835.0,HAWTHORN,35.0,23.4
Bialik College,HAWTHORN EAST,3122,82339.0,59835.0,HAWTHORN,38.0,39.9
Auburn High School,Hawthorn East,3123,82326.0,60581.0,HAWTHORN EAST,31.0,8.7
Alia College,HAWTHORN EAST,3123,82326.0,60581.0,HAWTHORN EAST,23.0,2.6
SEDA College (Victoria),HAWTHORN EAST,3123,82326.0,60581.0,,,
Siena College Ltd,CAMBERWELL,3124,86333.0,58946.0,,,
Presbyterian Ladies' College,BURWOOD,3125,57028.0,41948.0,BURWOOD,36.0,27.6
Mount Scopus Memorial College,BURWOOD,3125,57028.0,41948.0,BURWOOD,38.0,39.7
Camberwell High School,CANTERBURY,3126,95165.0,58703.0,CANTERBURY,30.0,5.8
Canterbury Girls Secondary College,CANTERBURY,3126,95165.0,58703.0,,,
Strathcona Baptist Girls' Grammar,CANTERBURY,3126,95165.0,58703.0,,,
Camberwell Girls Grammar School,CANTERBURY,3126,95165.0,58703.0,,,
Box Hill High School,BOX HILL,3128,57245.0,44494.0,BOX HILL,32.0,14.8
Kingswood College,BOX HILL,3128,57245.0,44494.0,BOX HILL,33.0,14.9
Box Hill Senior Secondary College,MONT ALBERT NORTH,3129,65418.0,52115.0,,,
Koonung Secondary College,MONT ALBERT NORTH,3129,65418.0,52115.0,MONT ALBERT NORTH,32.0,9.0
Our Lady of Sion College,KERRIMUIR,3129,65418.0,52115.0,BOX HILL,32.0,10.4
Blackburn High School,BLACKBURN,3130,67608.0,54844.0,BLACKBURN,30.0,7.1
Nunawading Christian College-Secondary,NUNAWADING,3131,62361.0,53152.0,,,
Mullauna Secondary College,MITCHAM,3132,66162.0,56357.0,,,
Vermont Secondary College,Vermont,3133,64208.0,53058.0,VERMONT,31.0,8.5
Emmaus College,VERMONT SOUTH,3133,64208.0,53058.0,VERMONT SOUTH,31.0,7.2
Waverley Christian College,VERMONT,3133,64208.0,53058.0,WANTIRNA SOUTH,33.0,13.1
Norwood Secondary College,RINGWOOD,3134,63801.0,53640.0,RINGWOOD,29.0,2.4
Ringwood Secondary College,RINGWOOD,3134,63801.0,53640.0,RINGWOOD,30.0,9.9
Aquinas College,RINGWOOD,3134,63801.0,53640.0,RINGWOOD,30.0,6.3
Yarra Valley Grammar,RINGWOOD,3134,63801.0,53640.0,,,
Melbourne Rudolf Steiner School,WARRANWOOD,3134,63801.0,53640.0,,,
Heathmont College,HEATHMONT,3135,64081.0,55649.0,HEATHMONT,26.0,2.0
Tintern Grammar,RINGWOOD EAST,3135,64081.0,55649.0,RINGWOOD EAST,31.0,7.3
Croydon Community School,Croydon,3136,61290.0,53705.0,CROYDON,,
Melba Secondary College,Croydon,3136,61290.0,53705.0,,,
Luther College,CROYDON HILLS,3136,61290.0,53705.0,CROYDON HILLS,33.0,10.9
Mooroolbark College,MOOROOLBARK,3138,59565.0,53062.0,MOOROOLBARK,28.0,2.9
Yarra Hills Secondary College,MOOROOLBARK,3138,59565.0,53062.0,MOOROOLBARK,25.0,1.3
Billanook College,MOOROOLBARK,3138,59565.0,53062.0,MOOROOLBARK,31.0,9.6
Lilydale Heights College,Lilydale,3140,58416.0,51348.0,LILYDALE,25.0,0.0
Lilydale High School,LILYDALE,3140,58416.0,51348.0,LILYDALE,28.0,2.0
Mount Lilydale Mercy College,LILYDALE,3140,58416.0,51348.0,LILYDALE,28.0,2.4
Oxley Christian College,LILYDALE,3140,58416.0,51348.0,CHIRNSIDE PARK,31.0,7.7
Edinburgh College,LILYDALE,3140,58416.0,51348.0,LILYDALE,30.0,2.3
Melbourne High School,SOUTH YARRA,3141,82166.0,65269.0,SOUTH YARRA,37.0,30.4
Melbourne Girls Grammar,SOUTH YARRA,3141,82166.0,65269.0,SOUTH YARRA,35.0,21.3
St Catherine's School,TOORAK,3142,99252.0,60000.0,TOORAK,35.0,25.0
Loreto Mandeville Hall,TOORAK,3142,99252.0,60000.0,TOORAK,36.0,29.3
St Kevin's College,TOORAK,3142,99252.0,60000.0,TOORAK,35.0,25.9
Lauriston Girls' School,ARMADALE,3143,89280.0,65311.0,,,
De La Salle College,MALVERN,3144,98471.0,60770.0,MALVERN,30.0,8.5
The King David School,MALVERN,3144,98471.0,60770.0,ARMADALE,36.0,26.0
Glen Eira College,CAULFIELD EAST,3145,81707.0,55268.0,CAULFIELD EAST,31.0,5.9
